v190 early_fraction 0.0
  compute_full_wait {'n': 384, 'min_us': 0.032, 'median_us': 0.064, 'p95_us': 1.024, 'max_us': 2.816, 'mean_us': 0.142}
  compute_qk_wait {'n': 384, 'min_us': 0.288, 'median_us': 0.32, 'p95_us': 0.512, 'max_us': 0.544, 'mean_us': 0.34808333333333336}
  compute_pv_wait {'n': 384, 'min_us': 0.416, 'median_us': 0.48, 'p95_us': 0.512, 'max_us': 0.672, 'mean_us': 0.48191666666666666}
  score_load_observation {'n': 384, 'min_us': 0.0, 'median_us': 0.032, 'p95_us': 0.064, 'max_us': 0.064, 'mean_us': 0.028916666666666667}
  softmax_high {'n': 384, 'min_us': 0.288, 'median_us': 0.352, 'p95_us': 0.384, 'max_us': 0.416, 'mean_us': 0.35941666666666666}
  probability_tail {'n': 384, 'min_us': 0.064, 'median_us': 0.256, 'p95_us': 0.288, 'max_us': 0.32, 'mean_us': 0.24841666666666667}
  issuer_p_wait {'n': 384, 'min_us': 0.544, 'median_us': 0.8, 'p95_us': 0.832, 'max_us': 0.832, 'mean_us': 0.7736666666666667}
  qk_submission {'n': 384, 'min_us': 0.32, 'median_us': 0.352, 'p95_us': 0.384, 'max_us': 0.384, 'mean_us': 0.35583333333333333}
  pv_submission {'n': 384, 'min_us': 0.096, 'median_us': 0.128, 'p95_us': 0.128, 'max_us': 0.128, 'mean_us': 0.12116666666666667}
  producer_empty_wait {'n': 336, 'min_us': 0.544, 'median_us': 0.928, 'p95_us': 0.992, 'max_us': 1.344, 'mean_us': 0.9334285714285715}
  producer_after_empty {'n': 336, 'min_us': 0.544, 'median_us': 0.608, 'p95_us': 0.64, 'max_us': 1.504, 'mean_us': 0.6123809523809524}
  cta_observed_span {'n': 24, 'min_us': 26.112, 'median_us': 26.624, 'p95_us': 28.672, 'max_us': 30.848, 'mean_us': 26.93733333333333}
  probability_tail_without_prior_pv_wait {'n': 384, 'min_us': 0.064, 'median_us': 0.256, 'p95_us': 0.288, 'max_us': 0.32, 'mean_us': 0.24841666666666667}
  qk_issue_relative_previous_pv {'n': 360, 'min_us': 0.32, 'median_us': 0.352, 'p95_us': 0.352, 'max_us': 0.96, 'mean_us': 0.3522666666666667}
v266 early_fraction 0.0
  compute_full_wait {'n': 384, 'min_us': 0.032, 'median_us': 0.064, 'p95_us': 0.992, 'max_us': 2.784, 'mean_us': 0.12841666666666668}
